start...
Finetuning mode
Load outputs/2023-01-23-23-33-36/trained_model/best_weight.pt...
Epoch: 1 / 10000, Score: -400,  block: 32,  Reward: -6.1 Cleared lines: 1
Epoch: 2 / 10000, Score: -400,  block: 39,  Reward: -7.7 Cleared lines: 1
Epoch: 3 / 10000, Score: -400,  block: 29,  Reward: -5.1 Cleared lines: 1
Epoch: 4 / 10000, Score: -400,  block: 34,  Reward: -5.9 Cleared lines: 1
Epoch: 5 / 10000, Score: -400,  block: 39,  Reward: -7.0 Cleared lines: 1
Epoch: 6 / 10000, Score: -500,  block: 22,  Reward: -4.0 Cleared lines: 0
Epoch: 7 / 10000, Score: -500,  block: 29,  Reward: -5.4 Cleared lines: 0
Epoch: 8 / 10000, Score: -300,  block: 30,  Reward: -6.0 Cleared lines: 2
Epoch: 9 / 10000, Score: -500,  block: 32,  Reward: -5.9 Cleared lines: 0
Epoch: 10 / 10000, Score: -100,  block: 46,  Reward: -6.8 Cleared lines: 4
Epoch: 11 / 10000, Score: -500,  block: 23,  Reward: -4.2 Cleared lines: 0
Epoch: 12 / 10000, Score: -500,  block: 28,  Reward: -5.5 Cleared lines: 0
Epoch: 13 / 10000, Score: -500,  block: 36,  Reward: -7.0 Cleared lines: 0
Epoch: 14 / 10000, Score: -500,  block: 24,  Reward: -4.9 Cleared lines: 0
Epoch: 15 / 10000, Score: -500,  block: 30,  Reward: -5.6 Cleared lines: 0
Epoch: 16 / 10000, Score: 0,  block: 48,  Reward: -8.0 Cleared lines: 5
Epoch: 17 / 10000, Score: -400,  block: 40,  Reward: -7.2 Cleared lines: 1
Epoch: 18 / 10000, Score: -200,  block: 45,  Reward: -9.1 Cleared lines: 3
Epoch: 19 / 10000, Score: -400,  block: 34,  Reward: -7.0 Cleared lines: 1
Epoch: 20 / 10000, Score: -300,  block: 35,  Reward: -6.2 Cleared lines: 2
Epoch: 21 / 10000, Score: -500,  block: 26,  Reward: -4.3 Cleared lines: 0
Epoch: 22 / 10000, Score: -500,  block: 32,  Reward: -5.5 Cleared lines: 0
Epoch: 23 / 10000, Score: -500,  block: 29,  Reward: -5.3 Cleared lines: 0
Epoch: 24 / 10000, Score: -400,  block: 35,  Reward: -6.7 Cleared lines: 1
Epoch: 25 / 10000, Score: -400,  block: 27,  Reward: -4.2 Cleared lines: 1
Epoch: 26 / 10000, Score: -400,  block: 36,  Reward: -6.6 Cleared lines: 1
Epoch: 27 / 10000, Score: -500,  block: 31,  Reward: -5.0 Cleared lines: 0
Epoch: 28 / 10000, Score: -500,  block: 30,  Reward: -5.6 Cleared lines: 0
Epoch: 29 / 10000, Score: -500,  block: 32,  Reward: -5.6 Cleared lines: 0
Epoch: 30 / 10000, Score: -500,  block: 30,  Reward: -5.3 Cleared lines: 0
Epoch: 31 / 10000, Score: -500,  block: 28,  Reward: -5.0 Cleared lines: 0
Epoch: 32 / 10000, Score: -400,  block: 29,  Reward: -5.0 Cleared lines: 1
Epoch: 33 / 10000, Score: -500,  block: 30,  Reward: -5.8 Cleared lines: 0
