start...
Finetuning mode
Load outputs/2023-02-12-11-33-40/trained_model/best_weight.pt...
Epoch: 1 / 3000, Score: 16600,  block: 301,  Reward: -16.8 Cleared lines: 118
Epoch: 2 / 3000, Score: 15400,  block: 301,  Reward: -23.3 Cleared lines: 111
Epoch: 3 / 3000, Score: 15200,  block: 301,  Reward: -17.2 Cleared lines: 117
Epoch: 4 / 3000, Score: 15800,  block: 301,  Reward: -26.1 Cleared lines: 118
Epoch: 5 / 3000, Score: 17500,  block: 301,  Reward: -17.7 Cleared lines: 120
Epoch: 6 / 3000, Score: 15300,  block: 301,  Reward: -14.0 Cleared lines: 118
Epoch: 7 / 3000, Score: 16300,  block: 301,  Reward: -18.2 Cleared lines: 119
Epoch: 8 / 3000, Score: 13400,  block: 301,  Reward: -22.1 Cleared lines: 110
Epoch: 9 / 3000, Score: 17200,  block: 301,  Reward: -19.5 Cleared lines: 114
Epoch: 10 / 3000, Score: 15400,  block: 301,  Reward: -29.0 Cleared lines: 117
Epoch: 11 / 3000, Score: 14400,  block: 301,  Reward: -18.6 Cleared lines: 117
Epoch: 12 / 3000, Score: 14000,  block: 231,  Reward: -12.3 Cleared lines: 82
Epoch: 13 / 3000, Score: 14600,  block: 301,  Reward: -29.5 Cleared lines: 110
Epoch: 14 / 3000, Score: 14900,  block: 301,  Reward: -20.1 Cleared lines: 117
Epoch: 15 / 3000, Score: 16500,  block: 301,  Reward: -17.3 Cleared lines: 116
Epoch: 16 / 3000, Score: 16800,  block: 301,  Reward: -24.7 Cleared lines: 114
Epoch: 17 / 3000, Score: 16600,  block: 301,  Reward: -27.1 Cleared lines: 112
Epoch: 18 / 3000, Score: 17700,  block: 301,  Reward: -20.5 Cleared lines: 117
Epoch: 19 / 3000, Score: 14600,  block: 301,  Reward: -15.1 Cleared lines: 119
Epoch: 20 / 3000, Score: 8600,  block: 203,  Reward: -26.2 Cleared lines: 65
Epoch: 21 / 3000, Score: 18300,  block: 301,  Reward: -15.6 Cleared lines: 119
Epoch: 22 / 3000, Score: 17900,  block: 301,  Reward: -22.6 Cleared lines: 118
Epoch: 23 / 3000, Score: 14400,  block: 301,  Reward: -33.3 Cleared lines: 114
Epoch: 24 / 3000, Score: 14800,  block: 301,  Reward: -20.0 Cleared lines: 116
Epoch: 25 / 3000, Score: 15800,  block: 301,  Reward: -17.7 Cleared lines: 119
Epoch: 26 / 3000, Score: 15600,  block: 301,  Reward: -17.9 Cleared lines: 115
Epoch: 27 / 3000, Score: 17700,  block: 301,  Reward: -20.1 Cleared lines: 117
Epoch: 28 / 3000, Score: 14700,  block: 301,  Reward: -36.0 Cleared lines: 113
Epoch: 29 / 3000, Score: 16100,  block: 301,  Reward: -24.7 Cleared lines: 116
Epoch: 30 / 3000, Score: 7300,  block: 168,  Reward: -20.0 Cleared lines: 54
Epoch: 31 / 3000, Score: 13100,  block: 301,  Reward: -19.8 Cleared lines: 114
Epoch: 32 / 3000, Score: 14900,  block: 301,  Reward: -17.3 Cleared lines: 118
Epoch: 33 / 3000, Score: 6800,  block: 183,  Reward: -18.3 Cleared lines: 58
Epoch: 34 / 3000, Score: 17700,  block: 301,  Reward: -17.4 Cleared lines: 118
Epoch: 35 / 3000, Score: 16200,  block: 301,  Reward: -18.9 Cleared lines: 119
Epoch: 36 / 3000, Score: 15300,  block: 301,  Reward: -19.2 Cleared lines: 114
Epoch: 37 / 3000, Score: 15100,  block: 301,  Reward: -24.1 Cleared lines: 110
Epoch: 38 / 3000, Score: 14600,  block: 295,  Reward: -34.3 Cleared lines: 107
Epoch: 39 / 3000, Score: 15900,  block: 301,  Reward: -20.0 Cleared lines: 107
Epoch: 40 / 3000, Score: 13800,  block: 301,  Reward: -33.1 Cleared lines: 105
Epoch: 41 / 3000, Score: 2700,  block: 93,  Reward: -12.1 Cleared lines: 20
Epoch: 42 / 3000, Score: 15300,  block: 301,  Reward: -18.2 Cleared lines: 118
Epoch: 43 / 3000, Score: 14500,  block: 301,  Reward: -20.4 Cleared lines: 116
Epoch: 44 / 3000, Score: 14500,  block: 301,  Reward: -22.5 Cleared lines: 111
Epoch: 45 / 3000, Score: 14300,  block: 301,  Reward: -20.0 Cleared lines: 110
Epoch: 46 / 3000, Score: 4600,  block: 123,  Reward: -17.5 Cleared lines: 34
Epoch: 47 / 3000, Score: 14000,  block: 301,  Reward: -25.9 Cleared lines: 111
Epoch: 48 / 3000, Score: 14700,  block: 301,  Reward: -20.2 Cleared lines: 112
Epoch: 49 / 3000, Score: 14700,  block: 301,  Reward: -15.9 Cleared lines: 119
Epoch: 50 / 3000, Score: 15800,  block: 301,  Reward: -17.9 Cleared lines: 117
Epoch: 51 / 3000, Score: 16500,  block: 301,  Reward: -18.7 Cleared lines: 115
Epoch: 52 / 3000, Score: 16500,  block: 301,  Reward: -18.1 Cleared lines: 115
Epoch: 53 / 3000, Score: 11300,  block: 262,  Reward: -34.2 Cleared lines: 88
Epoch: 54 / 3000, Score: 16800,  block: 301,  Reward: -18.4 Cleared lines: 115
Epoch: 55 / 3000, Score: 15300,  block: 301,  Reward: -14.5 Cleared lines: 116
Epoch: 56 / 3000, Score: 16900,  block: 301,  Reward: -16.3 Cleared lines: 119
Epoch: 57 / 3000, Score: 15400,  block: 301,  Reward: -21.6 Cleared lines: 115
Epoch: 58 / 3000, Score: 14700,  block: 301,  Reward: -17.0 Cleared lines: 114
Epoch: 59 / 3000, Score: 15600,  block: 301,  Reward: -32.6 Cleared lines: 115
Epoch: 60 / 3000, Score: 14800,  block: 301,  Reward: -17.7 Cleared lines: 110
Epoch: 61 / 3000, Score: 2000,  block: 77,  Reward: -8.5 Cleared lines: 16
Epoch: 62 / 3000, Score: 15300,  block: 301,  Reward: -19.7 Cleared lines: 113
Epoch: 63 / 3000, Score: 17800,  block: 301,  Reward: -22.4 Cleared lines: 117
Epoch: 64 / 3000, Score: 14900,  block: 301,  Reward: -28.4 Cleared lines: 116
Epoch: 65 / 3000, Score: 14800,  block: 301,  Reward: -16.1 Cleared lines: 118
Epoch: 66 / 3000, Score: 15500,  block: 301,  Reward: -25.0 Cleared lines: 118
Epoch: 67 / 3000, Score: 17500,  block: 301,  Reward: -22.6 Cleared lines: 118
Epoch: 68 / 3000, Score: 15500,  block: 301,  Reward: -25.6 Cleared lines: 116
Epoch: 69 / 3000, Score: 16100,  block: 301,  Reward: -35.6 Cleared lines: 112
Epoch: 70 / 3000, Score: 17400,  block: 301,  Reward: -15.9 Cleared lines: 116
Epoch: 71 / 3000, Score: 16300,  block: 301,  Reward: -15.5 Cleared lines: 117
Epoch: 72 / 3000, Score: 14800,  block: 301,  Reward: -17.1 Cleared lines: 117
Epoch: 73 / 3000, Score: 15800,  block: 301,  Reward: -25.9 Cleared lines: 118
Epoch: 74 / 3000, Score: 17500,  block: 301,  Reward: -18.8 Cleared lines: 118
Epoch: 75 / 3000, Score: 16900,  block: 301,  Reward: -20.0 Cleared lines: 117
Epoch: 76 / 3000, Score: 11500,  block: 239,  Reward: -28.9 Cleared lines: 84
Epoch: 77 / 3000, Score: 14300,  block: 301,  Reward: -21.0 Cleared lines: 110
Epoch: 78 / 3000, Score: 13700,  block: 301,  Reward: -15.7 Cleared lines: 117
Epoch: 79 / 3000, Score: 14900,  block: 301,  Reward: -21.7 Cleared lines: 113
Epoch: 80 / 3000, Score: 14500,  block: 301,  Reward: -20.4 Cleared lines: 112
Epoch: 81 / 3000, Score: 4900,  block: 151,  Reward: -21.5 Cleared lines: 44
Epoch: 82 / 3000, Score: 15300,  block: 301,  Reward: -21.0 Cleared lines: 117
Epoch: 83 / 3000, Score: 16200,  block: 301,  Reward: -18.6 Cleared lines: 116
Epoch: 84 / 3000, Score: 13900,  block: 301,  Reward: -18.4 Cleared lines: 115
