start...
Finetuning mode
Load outputs/2023-02-12-11-33-40/trained_model/best_weight.pt...
Epoch: 1 / 3000, Score: 15700,  block: 301,  Reward: -0.7613 Cleared lines: 110, col: 45/23/5/1 
Epoch: 2 / 3000, Score: 15500,  block: 301,  Reward: -6.6838 Cleared lines: 115, col: 59/20/4/1 
Epoch: 3 / 3000, Score: 15700,  block: 301,  Reward: -1.8572 Cleared lines: 114, col: 53/20/7/0 
Epoch: 4 / 3000, Score: 12900,  block: 289,  Reward: -12.0406 Cleared lines: 101, col: 50/21/3/0 
Epoch: 5 / 3000, Score: 11500,  block: 282,  Reward: -7.1918 Cleared lines: 96, col: 53/20/1/0 
Epoch: 6 / 3000, Score: 16200,  block: 301,  Reward: -0.2788 Cleared lines: 114, col: 47/24/5/1 
Epoch: 7 / 3000, Score: 13800,  block: 301,  Reward: -1.6910 Cleared lines: 116, col: 72/19/2/0 
Epoch: 8 / 3000, Score: 17000,  block: 301,  Reward: 0.1205 Cleared lines: 118, col: 48/24/6/1 
Epoch: 9 / 3000, Score: 12100,  block: 273,  Reward: -8.6945 Cleared lines: 94, col: 45/20/3/0 
Epoch: 10 / 3000, Score: 15300,  block: 301,  Reward: -1.5742 Cleared lines: 118, col: 58/24/4/0 
Epoch: 11 / 3000, Score: 14900,  block: 301,  Reward: -2.6916 Cleared lines: 111, col: 59/18/4/1 
Epoch: 12 / 3000, Score: 17200,  block: 301,  Reward: 0.6310 Cleared lines: 116, col: 47/23/5/2 
Epoch: 13 / 3000, Score: 15300,  block: 301,  Reward: -1.1795 Cleared lines: 113, col: 53/21/6/0 
Epoch: 14 / 3000, Score: 15900,  block: 301,  Reward: -0.7649 Cleared lines: 119, col: 59/21/6/0 
Epoch: 15 / 3000, Score: 16500,  block: 301,  Reward: -0.9390 Cleared lines: 119, col: 56/22/5/1 
Epoch: 16 / 3000, Score: 16100,  block: 301,  Reward: -0.2550 Cleared lines: 118, col: 56/23/4/1 
Epoch: 17 / 3000, Score: 14600,  block: 301,  Reward: -2.1963 Cleared lines: 113, col: 62/18/5/0 
Epoch: 18 / 3000, Score: 14500,  block: 301,  Reward: -1.3048 Cleared lines: 112, col: 51/26/3/0 
Epoch: 19 / 3000, Score: 15000,  block: 301,  Reward: -1.4954 Cleared lines: 118, col: 64/21/4/0 
Epoch: 20 / 3000, Score: 1500,  block: 67,  Reward: -6.8388 Cleared lines: 16, col: 8/4/0/0 
Epoch: 21 / 3000, Score: 15700,  block: 301,  Reward: 0.1275 Cleared lines: 113, col: 53/23/2/2 
Epoch: 22 / 3000, Score: 15500,  block: 301,  Reward: -1.3474 Cleared lines: 117, col: 56/23/5/0 
