start...
Finetuning mode
Load outputs/2023-02-12-11-33-40/trained_model/best_weight.pt...
Epoch: 1 / 3000, Score: 15500,  block: 301,  Reward: 1.2636 Cleared lines: 119, col: 57/25/4/0 
Epoch: 2 / 3000, Score: 11200,  block: 192,  Reward: 0.2272 Cleared lines: 65, col: 22/12/1/4 
Epoch: 3 / 3000, Score: 14500,  block: 301,  Reward: -1.8413 Cleared lines: 112, col: 46/30/2/0 
Epoch: 4 / 3000, Score: 16700,  block: 301,  Reward: 2.0084 Cleared lines: 119, col: 56/23/3/2 
Epoch: 5 / 3000, Score: 15600,  block: 301,  Reward: 1.2129 Cleared lines: 111, col: 41/26/6/0 
Epoch: 6 / 3000, Score: 16500,  block: 301,  Reward: 2.6606 Cleared lines: 115, col: 49/22/6/1 
Epoch: 7 / 3000, Score: 14800,  block: 301,  Reward: 1.0450 Cleared lines: 117, col: 70/16/5/0 
Epoch: 8 / 3000, Score: 15800,  block: 301,  Reward: 1.8892 Cleared lines: 118, col: 62/20/4/1 
Epoch: 9 / 3000, Score: 16900,  block: 301,  Reward: 1.7659 Cleared lines: 116, col: 48/24/4/2 
Epoch: 10 / 3000, Score: 17200,  block: 301,  Reward: 3.6619 Cleared lines: 115, col: 52/22/1/4 
Epoch: 11 / 3000, Score: 15200,  block: 301,  Reward: 0.5222 Cleared lines: 119, col: 73/14/6/0 
Epoch: 12 / 3000, Score: 15500,  block: 301,  Reward: 1.6279 Cleared lines: 117, col: 60/22/3/1 
Epoch: 13 / 3000, Score: 8000,  block: 175,  Reward: -4.3900 Cleared lines: 56, col: 18/13/4/0 
Epoch: 14 / 3000, Score: 16700,  block: 301,  Reward: 2.8083 Cleared lines: 114, col: 46/24/4/2 
Epoch: 15 / 3000, Score: 16700,  block: 301,  Reward: 3.2287 Cleared lines: 117, col: 50/25/3/2 
Epoch: 16 / 3000, Score: 16500,  block: 301,  Reward: 1.5262 Cleared lines: 114, col: 50/22/4/2 
Epoch: 17 / 3000, Score: 16200,  block: 301,  Reward: 2.2503 Cleared lines: 114, col: 56/19/4/2 
Epoch: 18 / 3000, Score: 16900,  block: 301,  Reward: 2.7979 Cleared lines: 118, col: 50/23/6/1 
Epoch: 19 / 3000, Score: 15200,  block: 301,  Reward: -1.5620 Cleared lines: 108, col: 50/17/8/0 
Epoch: 20 / 3000, Score: 17400,  block: 301,  Reward: 1.4136 Cleared lines: 116, col: 48/21/6/2 
Epoch: 21 / 3000, Score: 16700,  block: 301,  Reward: 2.9164 Cleared lines: 116, col: 52/22/4/2 
Epoch: 22 / 3000, Score: 8300,  block: 165,  Reward: -7.5939 Cleared lines: 54, col: 25/5/5/1 
Epoch: 23 / 3000, Score: 15800,  block: 301,  Reward: 2.2455 Cleared lines: 119, col: 64/22/1/2 
Epoch: 24 / 3000, Score: 16900,  block: 301,  Reward: 2.9358 Cleared lines: 116, col: 52/23/2/3 
